기준연월,지역명,검색량(건)
9월,경기도 용인시 처인구 ,8772
10월,경기도 용인시 처인구 ,12616
11월,경기도 용인시 처인구 ,12691
12월,경기도 용인시 처인구 ,9767
1월,경기도 용인시 처인구 ,6262
2월,경기도 용인시 처인구 ,7819
3월,경기도 용인시 처인구 ,9977
4월,경기도 용인시 처인구 ,14434
5월,경기도 용인시 처인구 ,16379
6월,경기도 용인시 처인구 ,14223
7월,경기도 용인시 처인구 ,14153
8월,경기도 용인시 처인구 ,13444
