기준연월,지역명,검색량(건)
9월,경기도 용인시 처인구 ,6423
10월,경기도 용인시 처인구 ,9337
11월,경기도 용인시 처인구 ,7943
12월,경기도 용인시 처인구 ,7831
1월,경기도 용인시 처인구 ,8173
2월,경기도 용인시 처인구 ,6649
3월,경기도 용인시 처인구 ,9831
4월,경기도 용인시 처인구 ,11739
5월,경기도 용인시 처인구 ,12983
6월,경기도 용인시 처인구 ,9979
7월,경기도 용인시 처인구 ,12728
8월,경기도 용인시 처인구 ,11490
