지점,지점명,일시,기온(°C),기온 QC플래그
108,서울,2023-08-13 00:01,22.6,0
108,서울,2023-08-13 00:02,22.6,0
108,서울,2023-08-13 00:03,22.6,0
108,서울,2023-08-13 00:04,22.6,0
108,서울,2023-08-13 00:05,22.6,0
108,서울,2023-08-13 00:06,22.6,0
108,서울,2023-08-13 00:07,22.6,0
108,서울,2023-08-13 00:08,22.6,0
108,서울,2023-08-13 00:09,22.6,0
108,서울,2023-08-13 00:10,22.6,0
108,서울,2023-08-13 00:11,22.6,0
108,서울,2023-08-13 00:12,22.6,0
108,서울,2023-08-13 00:13,22.6,0
108,서울,2023-08-13 00:14,22.6,0
108,서울,2023-08-13 00:15,22.6,0
108,서울,2023-08-13 00:16,22.6,0
108,서울,2023-08-13 00:17,22.6,0
108,서울,2023-08-13 00:18,22.6,0
108,서울,2023-08-13 00:19,22.6,0
108,서울,2023-08-13 00:20,22.6,0
108,서울,2023-08-13 00:21,22.6,0
108,서울,2023-08-13 00:22,22.6,0
108,서울,2023-08-13 00:23,22.6,0
108,서울,2023-08-13 00:24,22.6,0
108,서울,2023-08-13 00:25,22.6,0
108,서울,2023-08-13 00:26,22.6,0
108,서울,2023-08-13 00:27,22.6,0
108,서울,2023-08-13 00:28,22.6,0
108,서울,2023-08-13 00:29,22.6,0
108,서울,2023-08-13 00:30,22.6,0
108,서울,2023-08-13 00:31,22.6,0
108,서울,2023-08-13 00:32,22.6,0
108,서울,2023-08-13 00:33,22.6,0
108,서울,2023-08-13 00:34,22.6,0
108,서울,2023-08-13 00:35,22.6,0
108,서울,2023-08-13 00:36,22.6,0
108,서울,2023-08-13 00:37,22.6,0
108,서울,2023-08-13 00:38,22.6,0
108,서울,2023-08-13 00:39,22.6,0
108,서울,2023-08-13 00:40,22.6,0
108,서울,2023-08-13 00:41,22.7,0
108,서울,2023-08-13 00:42,22.7,0
108,서울,2023-08-13 00:43,22.7,0
108,서울,2023-08-13 00:44,22.7,0
108,서울,2023-08-13 00:45,22.7,0
108,서울,2023-08-13 00:46,22.7,0
108,서울,2023-08-13 00:47,22.7,0
108,서울,2023-08-13 00:48,22.7,0
108,서울,2023-08-13 00:49,22.6,0
108,서울,2023-08-13 00:50,22.6,0
108,서울,2023-08-13 00:51,22.7,0
108,서울,2023-08-13 00:52,22.7,0
108,서울,2023-08-13 00:53,22.7,0
108,서울,2023-08-13 00:54,22.7,0
108,서울,2023-08-13 00:55,22.7,0
108,서울,2023-08-13 00:56,22.7,0
108,서울,2023-08-13 00:57,22.7,0
108,서울,2023-08-13 00:58,22.7,0
108,서울,2023-08-13 00:59,22.7,0
108,서울,2023-08-13 01:00,22.7,0
108,서울,2023-08-13 01:01,22.7,0
108,서울,2023-08-13 01:02,22.7,0
108,서울,2023-08-13 01:03,22.7,0
108,서울,2023-08-13 01:04,22.7,0
108,서울,2023-08-13 01:05,22.7,0
108,서울,2023-08-13 01:06,22.7,0
108,서울,2023-08-13 01:07,22.7,0
108,서울,2023-08-13 01:08,22.7,0
108,서울,2023-08-13 01:09,22.7,0
108,서울,2023-08-13 01:10,22.7,0
108,서울,2023-08-13 01:11,22.7,0
108,서울,2023-08-13 01:12,22.7,0
108,서울,2023-08-13 01:13,22.7,0
108,서울,2023-08-13 01:14,22.7,0
108,서울,2023-08-13 01:15,22.7,0
