지점,지점명,일시,기온(°C),기온 QC플래그
108,서울,2023-08-02 00:01,28.9,0
108,서울,2023-08-02 00:02,28.9,0
108,서울,2023-08-02 00:03,28.9,0
108,서울,2023-08-02 00:04,28.9,0
108,서울,2023-08-02 00:05,28.9,0
108,서울,2023-08-02 00:06,28.9,0
108,서울,2023-08-02 00:07,28.9,0
108,서울,2023-08-02 00:08,28.9,0
108,서울,2023-08-02 00:09,28.9,0
108,서울,2023-08-02 00:10,28.9,0
108,서울,2023-08-02 00:11,28.9,0
108,서울,2023-08-02 00:12,28.9,0
108,서울,2023-08-02 00:13,28.9,0
108,서울,2023-08-02 00:14,28.8,0
108,서울,2023-08-02 00:15,28.8,0
108,서울,2023-08-02 00:16,28.8,0
108,서울,2023-08-02 00:17,28.8,0
108,서울,2023-08-02 00:18,28.8,0
108,서울,2023-08-02 00:19,28.8,0
108,서울,2023-08-02 00:20,28.8,0
108,서울,2023-08-02 00:21,28.7,0
108,서울,2023-08-02 00:22,28.8,0
108,서울,2023-08-02 00:23,28.7,0
108,서울,2023-08-02 00:24,28.7,0
108,서울,2023-08-02 00:25,28.7,0
108,서울,2023-08-02 00:26,28.7,0
108,서울,2023-08-02 00:27,28.7,0
108,서울,2023-08-02 00:28,28.7,0
108,서울,2023-08-02 00:29,28.7,0
108,서울,2023-08-02 00:30,28.6,0
108,서울,2023-08-02 00:31,28.6,0
108,서울,2023-08-02 00:32,28.6,0
108,서울,2023-08-02 00:33,28.6,0
108,서울,2023-08-02 00:34,28.6,0
108,서울,2023-08-02 00:35,28.6,0
108,서울,2023-08-02 00:36,28.6,0
108,서울,2023-08-02 00:37,28.6,0
108,서울,2023-08-02 00:38,28.5,0
108,서울,2023-08-02 00:39,28.6,0
108,서울,2023-08-02 00:40,28.5,0
108,서울,2023-08-02 00:41,28.5,0
108,서울,2023-08-02 00:42,28.5,0
108,서울,2023-08-02 00:43,28.5,0
108,서울,2023-08-02 00:44,28.5,0
108,서울,2023-08-02 00:45,28.5,0
108,서울,2023-08-02 00:46,28.5,0
108,서울,2023-08-02 00:47,28.5,0
108,서울,2023-08-02 00:48,28.5,0
108,서울,2023-08-02 00:49,28.5,0
108,서울,2023-08-02 00:50,28.5,0
108,서울,2023-08-02 00:51,28.5,0
108,서울,2023-08-02 00:52,28.5,0
108,서울,2023-08-02 00:53,28.5,0
108,서울,2023-08-02 00:54,28.5,0
108,서울,2023-08-02 00:55,28.5,0
108,서울,2023-08-02 00:56,28.5,0
108,서울,2023-08-02 00:57,28.5,0
108,서울,2023-08-02 00:58,28.5,0
108,서울,2023-08-02 00:59,28.5,0
108,서울,2023-08-02 01:00,28.5,0
108,서울,2023-08-02 01:01,28.5,0
108,서울,2023-08-02 01:02,28.5,0
108,서울,2023-08-02 01:03,28.5,0
108,서울,2023-08-02 01:04,28.5,0
108,서울,2023-08-02 01:05,28.4,0
108,서울,2023-08-02 01:06,28.5,0
108,서울,2023-08-02 01:07,28.4,0
108,서울,2023-08-02 01:08,28.4,0
108,서울,2023-08-02 01:09,28.4,0
108,서울,2023-08-02 01:10,28.4,0
108,서울,2023-08-02 01:11,28.4,0
108,서울,2023-08-02 01:12,28.4,0
108,서울,2023-08-02 01:13,28.4,0
108,서울,2023-08-02 01:14,28.4,0
108,서울,2023-08-02 01:15,28.4,0
108,서울,2023-08-02 01:16,28.3,0
108,서울,2023-08-02 01:17,28.3,0
108,서울,2023-08-02 01:18,28.3,0
108,서울,2023-08-02 01:19,28.3,0
108,서울,2023-08-02 01:20,28.3,0
108,서울,2023-08-02 01:21,28.3,0
108,서울,2023-08-02 01:22,28.3,0
108,서울,2023-08-02 01:23,28.3,0
108,서울,2023-08-02 01:24,28.3,0
108,서울,2023-08-02 01:25,28.3,0
108,서울,2023-08-02 01:26,28.3,0
108,서울,2023-08-02 01:27,28.3,0
108,서울,2023-08-02 01:28,28.3,0
108,서울,2023-08-02 01:29,28.3,0
108,서울,2023-08-02 01:30,28.3,0
108,서울,2023-08-02 01:31,28.3,0
108,서울,2023-08-02 01:32,28.3,0
108,서울,2023-08-02 01:33,28.3,0
108,서울,2023-08-02 01:34,28.3,0
108,서울,2023-08-02 01:35,28.3,0
108,서울,2023-08-02 01:36,28.3,0
108,서울,2023-08-02 01:37,28.2,0
108,서울,2023-08-02 01:38,28.2,0
108,서울,2023-08-02 01:39,28.2,0
108,서울,2023-08-02 01:40,28.2,0
108,서울,2023-08-02 01:41,28.2,0
108,서울,2023-08-02 01:42,28.1,0
108,서울,2023-08-02 01:43,28.1,0
108,서울,2023-08-02 01:44,28.1,0
108,서울,2023-08-02 01:45,28.1,0
108,서울,2023-08-02 01:46,28.1,0
108,서울,2023-08-02 01:47,28.1,0
108,서울,2023-08-02 01:48,28.1,0
108,서울,2023-08-02 01:49,28,0
108,서울,2023-08-02 01:50,28,0
108,서울,2023-08-02 01:51,28,0
108,서울,2023-08-02 01:52,28,0
108,서울,2023-08-02 01:53,28,0
108,서울,2023-08-02 01:54,28,0
108,서울,2023-08-02 01:55,28,0
108,서울,2023-08-02 01:56,27.9,0
108,서울,2023-08-02 01:57,27.9,0
108,서울,2023-08-02 01:58,27.9,0
108,서울,2023-08-02 01:59,27.9,0
108,서울,2023-08-02 02:00,27.9,0
108,서울,2023-08-02 02:01,27.9,0
108,서울,2023-08-02 02:02,27.9,0
108,서울,2023-08-02 02:03,27.9,0
108,서울,2023-08-02 02:04,27.9,0
108,서울,2023-08-02 02:05,27.8,0
108,서울,2023-08-02 02:06,27.9,0
108,서울,2023-08-02 02:07,27.9,0
108,서울,2023-08-02 02:08,27.9,0
108,서울,2023-08-02 02:09,27.9,0
108,서울,2023-08-02 02:10,27.9,0
108,서울,2023-08-02 02:11,27.9,0
108,서울,2023-08-02 02:12,27.8,0
108,서울,2023-08-02 02:13,27.8,0
108,서울,2023-08-02 02:14,27.8,0
108,서울,2023-08-02 02:15,27.8,0
108,서울,2023-08-02 02:16,27.8,0
108,서울,2023-08-02 02:17,27.8,0
108,서울,2023-08-02 02:18,27.8,0
108,서울,2023-08-02 02:19,27.8,0
108,서울,2023-08-02 02:20,27.8,0
108,서울,2023-08-02 02:21,27.8,0
108,서울,2023-08-02 02:22,27.8,0
108,서울,2023-08-02 02:23,27.8,0
108,서울,2023-08-02 02:24,27.8,0
108,서울,2023-08-02 02:25,27.8,0
108,서울,2023-08-02 02:26,27.8,0
108,서울,2023-08-02 02:27,27.8,0
108,서울,2023-08-02 02:28,27.8,0
108,서울,2023-08-02 02:29,27.8,0
108,서울,2023-08-02 02:30,27.8,0
108,서울,2023-08-02 02:31,27.8,0
108,서울,2023-08-02 02:32,27.8,0
108,서울,2023-08-02 02:33,27.8,0
108,서울,2023-08-02 02:34,27.8,0
108,서울,2023-08-02 02:35,27.8,0
108,서울,2023-08-02 02:36,27.8,0
108,서울,2023-08-02 02:37,27.8,0
108,서울,2023-08-02 02:38,27.8,0
108,서울,2023-08-02 02:39,27.8,0
108,서울,2023-08-02 02:40,27.8,0
108,서울,2023-08-02 02:41,27.8,0
108,서울,2023-08-02 02:42,27.7,0
108,서울,2023-08-02 02:43,27.7,0
108,서울,2023-08-02 02:44,27.7,0
108,서울,2023-08-02 02:45,27.7,0
108,서울,2023-08-02 02:46,27.7,0
108,서울,2023-08-02 02:47,27.7,0
108,서울,2023-08-02 02:48,27.7,0
108,서울,2023-08-02 02:49,27.7,0
108,서울,2023-08-02 02:50,27.7,0
108,서울,2023-08-02 02:51,27.7,0
108,서울,2023-08-02 02:52,27.7,0
108,서울,2023-08-02 02:53,27.7,0
108,서울,2023-08-02 02:54,27.7,0
108,서울,2023-08-02 02:55,27.7,0
108,서울,2023-08-02 02:56,27.7,0
108,서울,2023-08-02 02:57,27.6,0
108,서울,2023-08-02 02:58,27.6,0
108,서울,2023-08-02 02:59,27.6,0
108,서울,2023-08-02 03:00,27.6,0
108,서울,2023-08-02 03:01,27.6,0
108,서울,2023-08-02 03:02,27.6,0
108,서울,2023-08-02 03:03,27.6,0
108,서울,2023-08-02 03:04,27.6,0
108,서울,2023-08-02 03:05,27.5,0
